,CustomerID,Recency,Frequency,Monetary,R,F,M,RFMscore
0,12346.0,325,1,77183.6,5,1,4,10
1,12347.0,34461,33124,784420.0000000001,1,5,5,11
2,12348.0,9459,961,55714.44,2,3,4,9
3,12349.0,1314,5329,128301.15000000001,5,4,4,13
4,12350.0,5270,289,5684.8,3,2,2,7
5,12352.0,13657,7225,213013.40000000002,2,4,4,10
6,12353.0,816,16,356.0,5,1,1,7
7,12354.0,13456,3364,62605.200000000004,2,4,4,10
8,12355.0,2782,169,5972.2,4,1,2,7
9,12356.0,16889,3481,165874.37,2,4,4,10
10,12357.0,4323,17161,813204.77,3,5,5,13
11,12358.0,1807,361,22193.14,4,2,3,9
12,12359.0,44393,60025,1545957.35,1,5,5,11
13,12360.0,15168,16641,343405.74,2,5,5,12
14,12361.0,2870,100,1899.0,4,1,1,6
15,12362.0,28036,70756,1390177.18,1,5,5,11
16,12363.0,4635,529,12696.0,3,2,2,7
17,12364.0,5033,7225,111613.49999999999,3,4,4,11
18,12365.0,6402,484,14110.359999999997,3,2,2,7
19,12367.0,44,121,1857.8999999999996,5,1,1,7
20,12370.0,46956,27556,587962.04,1,5,5,11
21,12371.0,3702,3969,118941.48,3,4,4,11
22,12372.0,10871,2704,67498.08000000002,2,3,4,9
23,12373.0,4354,196,5104.400000000001,3,1,2,6
24,12374.0,825,1089,24516.69,5,3,3,11
25,12375.0,1138,289,7777.5,5,2,2,9
26,12377.0,25932,5929,125365.23999999999,1,4,4,9
27,12378.0,28251,47961,877887.78,1,5,5,11
28,12379.0,5020,1600,34089.6,3,3,3,9
29,12380.0,10489,10816,283380.24000000005,2,4,5,11
30,12381.0,8051,7569,160541.97000000003,2,4,4,10
31,12383.0,30873,9801,183205.44,1,4,4,9
32,12384.0,2058,729,15802.290000000003,4,2,3,9
33,12386.0,3602,100,4019.0,4,1,2,7
34,12388.0,17724,10000,278066.00000000006,2,4,5,11
35,12390.0,2528,1024,17594.88,4,3,3,10
36,12391.0,1953,8649,40888.380000000005,4,4,3,11
37,12393.0,13260,4096,101286.4,2,4,4,10
38,12394.0,4935,729,34356.96,3,2,3,8
39,12395.0,27879,24336,470906.28,1,5,5,11
40,12397.0,11410,15876,303647.4000000001,2,5,5,12
41,12398.0,3825,7225,139031.1,3,4,4,11
42,12399.0,12249,3481,65410.350000000006,2,4,4,10
43,12401.0,1515,25,421.5,4,1,1,6
44,12402.0,3553,121,2481.6,4,1,1,6
45,12403.0,245,25,2138.5,5,1,1,7
